ddl_case_id,year,state_code,dist_code,court_no,cino,judge_position,female_defendant,female_petitioner,female_adv_def,female_adv_pet,type_name,purpose_name,disp_name,date_of_filing,date_of_decision,date_first_list,date_last_list,date_next_list
01-01-01-201908000022011,2011,1,1,1,MHNB030000252011,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1683,4762.0,25,2011-01-03,2013-06-25,2011-03-23,2013-06-17,2013-06-25
01-01-01-201908000032011,2011,1,1,1,MHNB030003242011,chief judicial magistrate,0 male,1 female,-9999,0,1683,2155.0,42,2011-01-03,2012-03-04,2011-03-28,2012-02-16,2012-03-04
01-01-01-201908000042011,2011,1,1,1,MHNB030001492011,chief judicial magistrate,0 male,0 male,-9999,0,1683,4219.0,15,2011-01-06,2012-09-16,2011-02-28,2012-04-02,2012-09-16
01-01-01-201908000052011,2011,1,1,1,MHNB030000282011,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1683,4613.0,42,2011-01-06,2013-11-23,2011-01-28,2013-11-18,2013-11-23
01-01-01-201908000062011,2011,1,1,1,MHNB030000332011,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1683,3737.0,30,2011-01-06,2014-05-30,2011-01-27,2014-05-21,2014-05-30
01-01-01-201908000072011,2011,1,1,1,MHNB030001452011,chief judicial magistrate,0 male,0 male,-9999,0,1683,4219.0,42,2011-01-06,2011-06-19,2011-02-06,2011-05-31,2011-06-19
01-01-01-201908000082011,2011,1,1,1,MHNB030001502011,chief judicial magistrate,0 male,0 male,-9999,-9998,1683,4613.0,43,2011-01-06,2014-02-20,2011-02-28,2014-02-15,2014-02-20
01-01-01-201908000092011,2011,1,1,1,MHNB030000302011,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1683,3737.0,30,2011-01-06,2014-05-30,2011-01-28,2014-05-21,2014-05-30
01-01-01-201908000102011,2011,1,1,1,MHNB030000342011,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1683,6268.0,43,2011-01-06,2014-10-17,2011-01-27,2014-08-22,2014-10-17
01-01-01-201908000112011,2011,1,1,1,MHNB030001462011,chief judicial magistrate,0 male,0 male,-9999,0,1683,4762.0,22,2011-01-06,2014-06-21,2011-02-06,2014-06-17,2014-06-21
01-01-01-201908000132011,2011,1,1,1,MHNB030000402011,chief judicial magistrate,-9998 unclear,0 male,-9999,0,1683,2797.0,30,2011-01-11,2011-01-14,2011-01-14,2011-01-14,2011-01-14
01-01-01-201908000142011,2011,1,1,1,MHNB030001752011,chief judicial magistrate,0 male,1 female,-9999,0,1683,4126.0,30,2011-01-12,2013-10-04,2011-03-15,2013-09-26,2013-10-04
01-01-01-201908000152011,2011,1,1,1,MHNB030000642011,chief judicial magistrate,0 male,1 female,-9999,0,1683,4762.0,22,2011-01-18,2014-09-11,2011-02-17,2014-08-16,2014-09-11
01-01-01-201908000162011,2011,1,1,1,MHNB030000682011,chief judicial magistrate,0 male,1 female,-9999,0,1683,4126.0,30,2011-01-18,2012-10-03,2011-02-14,2012-09-25,2012-10-03
01-01-01-201908000172011,2011,1,1,1,MHNB030000712011,chief judicial magistrate,0 male,1 female,-9999,0,1683,4613.0,25,2011-01-19,2011-05-02,2011-01-19,2011-04-18,2011-05-18
01-01-01-201908000182011,2011,1,1,1,MHNB030001212011,chief judicial magistrate,0 male,0 male,-9999,0,1683,4613.0,51,2011-01-24,2012-03-04,2011-02-28,2012-02-18,2012-03-04
