ddl_case_id,year,state_code,dist_code,court_no,cino,judge_position,female_defendant,female_petitioner,female_adv_def,female_adv_pet,type_name,purpose_name,disp_name,date_of_filing,date_of_decision,date_first_list,date_last_list,date_next_list
01-01-01-201508017692012,2012,1,1,1,MHNB030013192012,chief judicial magistrate,0 male,-9998 unclear,-9998,-9999,5682,,26,2012-11-27,2012-11-23,2012-11-23,5000-01-01,
01-01-01-201508017702012,2012,1,1,1,MHNB030013202012,chief judicial magistrate,0 male,-9998 unclear,-9998,-9999,5682,,26,2012-11-27,2012-11-23,2012-11-23,5000-01-01,
01-01-01-201608017612012,2012,1,1,1,MHNB030012922012,chief judicial magistrate,0 male,-9998 unclear,-9998,-9999,5985,,26,2012-11-21,2012-11-21,2012-11-21,5000-01-01,
01-01-01-201908000012012,2012,1,1,1,MHNB030000162012,chief judicial magistrate,0 male,1 female,-9999,0,1849,5009.0,22,2012-01-04,2013-12-11,2012-01-27,2013-11-18,2013-12-11
01-01-01-201908000022012,2012,1,1,1,MHNB030000122012,chief judicial magistrate,0 male,1 female,-9999,0,1849,5167.0,25,2012-01-04,2012-01-04,2012-01-04,2012-01-04,2012-01-04
01-01-01-201908000032012,2012,1,1,1,MHNB030000132012,chief judicial magistrate,0 male,1 female,-9999,0,1849,5009.0,22,2012-01-04,2014-04-29,2012-01-04,2014-04-11,2014-04-29
01-01-01-201908000042012,2012,1,1,1,MHNB030001432012,chief judicial magistrate,0 male,0 male,-9999,1,1849,5167.0,22,2012-01-04,2017-08-19,2012-02-09,2017-08-19,2017-08-19
01-01-01-201908000052012,2012,1,1,1,MHNB030000762012,chief judicial magistrate,-9998 unclear,0 male,-9998,0,1849,737.0,25,2012-01-05,2012-01-23,2012-01-05,2012-01-20,2012-01-23
01-01-01-201908000062012,2012,1,1,1,MHNB030000182012,chief judicial magistrate,-9998 unclear,0 male,-9999,1,1849,3035.0,25,2012-01-05,2012-01-12,2012-01-09,2012-01-09,2012-01-12
01-01-01-201908000072012,2012,1,1,1,MHNB030000422012,chief judicial magistrate,-9998 unclear,0 male,0,0,1849,3035.0,25,2012-01-10,2012-01-19,2012-01-16,2012-01-16,2012-01-19
01-01-01-201908000082012,2012,1,1,1,MHNB030000432012,chief judicial magistrate,-9998 unclear,0 male,0,0,1849,3035.0,25,2012-01-10,2012-01-19,2012-01-16,2012-01-16,2012-01-19
01-01-01-201908000092012,2012,1,1,1,MHNB030000552012,chief judicial magistrate,-9998 unclear,0 male,0,0,1849,5167.0,25,2012-01-13,2012-02-02,2012-01-21,2012-02-01,2012-02-02
01-01-01-201908000102012,2012,1,1,1,MHNB030000842012,chief judicial magistrate,1 female,-9998 unclear,-9999,0,1849,5009.0,2,2012-01-21,2013-06-10,2012-03-14,2013-04-30,2013-06-10
01-01-01-201908000122012,2012,1,1,1,MHNB030000752012,chief judicial magistrate,1 female,0 male,-9999,0,1849,737.0,25,2012-01-24,2012-02-09,2012-01-24,2012-01-24,2012-02-09
01-01-01-201908000132012,2012,1,1,1,MHNB030000782012,chief judicial magistrate,0 male,0 male,-9999,0,1849,5009.0,22,2012-01-24,2013-10-17,2012-02-17,2013-08-02,2013-10-17
01-01-01-201908000142012,2012,1,1,1,MHNB030000882012,chief judicial magistrate,0 male,0 male,-9999,0,1849,5960.0,22,2012-01-25,2014-03-07,2012-02-27,2014-02-06,2014-03-07
01-01-01-201908000152012,2012,1,1,1,MHNB030000822012,chief judicial magistrate,0 male,1 female,-9999,0,1849,5167.0,25,2012-01-27,2012-01-27,2012-01-27,2012-01-27,2012-01-27
01-01-01-201908000162012,2012,1,1,1,MHNB030001192012,chief judicial magistrate,-9998 unclear,0 male,0,0,1849,7111.0,25,2012-02-01,2012-02-02,2012-02-02,2012-02-02,2012-02-02
01-01-01-201908000172012,2012,1,1,1,MHNB030001212012,chief judicial magistrate,-9998 unclear,0 male,-9998,0,1849,737.0,25,2012-02-02,2012-02-18,2012-02-02,2012-02-15,2012-02-18
01-01-01-201908000182012,2012,1,1,1,MHNB030001472012,chief judicial magistrate,-9998 unclear,0 male,0,-9998,1849,5009.0,30,2012-02-02,2012-02-16,2012-02-10,2012-02-16,2012-02-16
01-01-01-201908000192012,2012,1,1,1,MHNB030001272012,chief judicial magistrate,0 male,0 male,-9999,0,1849,5167.0,25,2012-02-02,2012-02-02,2012-02-02,2012-02-02,2012-02-02
01-01-01-201908000202012,2012,1,1,1,MHNB030001422012,chief judicial magistrate,0 male,1 female,-9999,0,1849,4072.0,25,2012-02-08,2013-03-05,2012-02-08,2013-02-12,2013-03-05
01-01-01-201908000212012,2012,1,1,1,MHNB030002192012,chief judicial magistrate,0 male,0 male,-9999,0,1849,5960.0,25,2012-02-08,2015-08-20,2012-04-12,2015-07-16,2015-08-20
01-01-01-201908000222012,2012,1,1,1,MHNB030002282012,chief judicial magistrate,0 male,1 female,0,0,1849,5167.0,32,2012-02-09,2014-03-11,2012-04-30,2014-02-28,2014-03-11
01-01-01-201908000232012,2012,1,1,1,MHNB030001452012,chief judicial magistrate,-9998 unclear,0 male,-9998,0,1849,3035.0,25,2012-02-09,2012-02-28,2012-02-09,2012-02-24,2012-02-28
01-01-01-201908000242012,2012,1,1,1,MHNB030002182012,chief judicial magistrate,0 male,1 female,-9999,0,1849,5960.0,25,2012-02-09,2013-05-08,2012-04-12,2013-03-30,2013-05-08
01-01-01-201908000262012,2012,1,1,1,MHNB030011602012,chief judicial magistrate,-9998 unclear,0 male,-9999,1,1849,6706.0,25,2012-02-15,2013-02-07,2012-11-22,2013-01-31,2013-02-07
01-01-01-201908000272012,2012,1,1,1,MHNB030001612012,chief judicial magistrate,0 male,1 female,-9999,-9998,1849,6777.0,25,2012-02-16,2013-06-22,2012-02-16,2013-06-21,2013-06-22
01-01-01-201908000282012,2012,1,1,1,MHNB030003492012,chief judicial magistrate,0 male,1 female,0,0,1849,5167.0,22,2012-02-17,2013-09-12,2012-04-25,2013-08-13,2013-09-12
01-01-01-201908000292012,2012,1,1,1,MHNB030001602012,chief judicial magistrate,0 male,1 female,-9999,-9998,1849,737.0,25,2012-02-18,2012-02-22,2012-02-18,2012-02-18,2012-02-22
01-01-01-201908000312012,2012,1,1,1,MHNB030002042012,chief judicial magistrate,0 male,0 male,-9999,1,1849,6663.0,25,2012-02-22,2015-12-28,2012-03-05,2015-12-28,2015-12-28
01-01-01-201908000322012,2012,1,1,1,MHNB030001782012,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1849,4501.0,30,2012-02-22,2014-06-07,2012-02-22,2014-05-20,2014-06-07
01-01-01-201908000332012,2012,1,1,1,MHNB030011612012,chief judicial magistrate,0 male,0 male,-9999,-9998,1849,5960.0,30,2012-02-22,2013-04-25,2012-11-26,2013-03-16,2013-04-25
01-01-01-201908000352012,2012,1,1,1,MHNB030001792012,chief judicial magistrate,0 male,0 male,-9999,0,1849,5167.0,25,2012-02-23,2012-02-23,2012-02-23,2012-02-23,2012-02-23
01-01-01-201908000362012,2012,1,1,1,MHNB030001812012,chief judicial magistrate,0 male,1 female,-9999,0,1849,5167.0,43,2012-02-28,2014-07-21,2012-02-28,2014-06-25,2014-07-21
01-01-01-201908000372012,2012,1,1,1,MHNB030001862012,chief judicial magistrate,0 male,1 female,-9999,0,1849,4501.0,30,2012-03-03,2015-02-16,2012-05-05,2015-01-16,2015-02-16
01-01-01-201908000382012,2012,1,1,1,MHNB030002752012,chief judicial magistrate,-9998 unclear,0 male,-9999,-9998,1849,5167.0,25,2012-03-12,2012-03-19,2012-03-19,2012-03-19,2012-03-19
01-01-01-201908000392012,2012,1,1,1,MHNB030002382012,chief judicial magistrate,-9998 unclear,1 female,-9999,-9998,1849,6777.0,15,2012-03-14,2013-01-08,2012-04-16,2013-01-07,2013-01-08
01-01-01-201908000402012,2012,1,1,1,MHNB030002772012,chief judicial magistrate,-9998 unclear,0 male,-9999,0,1849,3049.0,30,2012-03-16,2012-03-27,2012-03-20,2012-03-26,2012-03-27
01-01-01-201908000412012,2012,1,1,1,MHNB030002482012,chief judicial magistrate,0 male,0 male,0,0,1849,4072.0,30,2012-03-17,2014-09-29,2012-04-09,2014-09-11,2014-09-29
01-01-01-201908000422012,2012,1,1,1,MHNB030002732012,chief judicial magistrate,0 male,1 female,-9999,1,1849,5167.0,25,2012-03-19,2012-03-19,2012-03-19,2012-03-19,2012-03-19
01-01-01-201908000432012,2012,1,1,1,MHNB030002782012,chief judicial magistrate,-9998 unclear,0 male,-9999,0,1849,5949.0,30,2012-03-19,2012-04-21,2012-03-21,2012-03-21,2012-04-21
01-01-01-201908000442012,2012,1,1,1,MHNB030003652012,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1849,2688.0,30,2012-03-20,2015-02-26,2012-05-17,2015-02-11,2015-02-26
01-01-01-201908000452012,2012,1,1,1,MHNB030002812012,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1849,5167.0,25,2012-03-20,2012-03-20,2012-03-20,2012-03-20,2012-03-20
01-01-01-201908000472012,2012,1,1,1,MHNB030003662012,chief judicial magistrate,0 male,1 female,-9999,0,1849,4501.0,25,2012-03-22,2013-12-18,2012-05-17,2013-11-27,2013-12-18
01-01-01-201908000482012,2012,1,1,1,MHNB030002872012,chief judicial magistrate,0 male,1 female,-9999,0,1849,5009.0,30,2012-03-22,2012-04-10,2012-03-22,2012-03-22,2012-04-10
01-01-01-201908000492012,2012,1,1,1,MHNB030015542012,chief judicial magistrate,-9998 unclear,0 male,0,0,1849,5167.0,30,2012-03-22,2013-11-19,2013-01-28,2013-08-08,2013-11-19
01-01-01-201908000502012,2012,1,1,1,MHNB030003672012,chief judicial magistrate,0 male,0 male,-9999,0,1849,4600.0,42,2012-03-26,2013-03-03,2012-04-18,2013-02-21,2013-03-03
01-01-01-201908000512012,2012,1,1,1,MHNB030002892012,chief judicial magistrate,0 male,0 male,-9999,0,1849,5167.0,25,2012-03-26,2012-03-26,2012-03-26,2012-03-26,2012-03-26
01-01-01-201908000522012,2012,1,1,1,MHNB030005482012,chief judicial magistrate,0 male,1 female,-9999,1,1849,5167.0,15,2012-03-28,2013-03-03,2012-06-17,2013-02-20,2013-03-03
