ddl_case_id,year,state_code,dist_code,court_no,cino,judge_position,female_defendant,female_petitioner,female_adv_def,female_adv_pet,type_name,purpose_name,disp_name,date_of_filing,date_of_decision,date_first_list,date_last_list,date_next_list
01-01-01-200308002162010,2010,1,1,1,MHNB030013812010,chief judicial magistrate,0 male,1 female,0,-9998,790,5228.0,42,2010-12-13,2011-06-19,2011-06-08,2011-06-20,2011-06-24
01-01-01-200707000172010,2010,1,1,1,MHNB030004552010,chief judicial magistrate,-9998 unclear,1 female,-9999,0,2587,3627.0,42,2010-02-25,2010-11-21,2010-08-06,2010-08-06,2010-11-30
01-01-01-200707000182010,2010,1,1,1,MHNB030004562010,chief judicial magistrate,-9998 unclear,-9998 unclear,-9999,0,2587,3627.0,42,2010-02-25,2010-11-21,2010-08-06,2010-08-06,2010-11-30
01-01-01-200707000192010,2010,1,1,1,MHNB030004582010,chief judicial magistrate,-9998 unclear,1 female,-9999,0,2587,3627.0,42,2010-02-25,2010-11-21,2010-08-06,2010-08-06,2010-11-30
01-01-01-200707000202010,2010,1,1,1,MHNB030004592010,chief judicial magistrate,-9998 unclear,-9998 unclear,-9999,0,2587,3627.0,42,2010-02-25,2010-11-21,2010-08-06,2010-08-06,2010-11-30
01-01-01-201907001972010,2010,1,1,1,MHNB030014212010,chief judicial magistrate,-9998 unclear,0 male,0,0,1429,509.0,25,2010-12-01,2015-07-24,2013-11-22,2015-06-12,2015-07-24
01-01-01-201908000012010,2010,1,1,1,MHNB030000012010,chief judicial magistrate,-9998 unclear,0 male,0,0,1429,2237.0,25,2010-01-02,2010-01-11,2010-01-05,2010-01-05,2010-01-11
01-01-01-201908000022010,2010,1,1,1,MHNB030000042010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3627.0,22,2010-01-02,2013-12-11,2010-02-02,2013-11-18,2013-12-11
01-01-01-201908000032010,2010,1,1,1,MHNB030000022010,chief judicial magistrate,-9998 unclear,0 male,0,0,1429,2237.0,25,2010-01-02,2010-02-11,2010-01-05,2010-01-27,2010-02-11
01-01-01-201908000042010,2010,1,1,1,MHNB030000032010,chief judicial magistrate,-9998 unclear,-9998 unclear,0,0,1429,2237.0,25,2010-01-02,2010-02-12,2010-01-06,2010-01-27,2010-02-12
01-01-01-201908000052010,2010,1,1,1,MHNB030000192010,chief judicial magistrate,0 male,1 female,-9999,-9998,1429,2237.0,25,2010-01-05,2010-01-07,2010-01-07,2010-01-07,2010-01-07
01-01-01-201908000062010,2010,1,1,1,MHNB030000202010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3006.0,30,2010-01-06,2012-03-20,2010-01-21,2012-03-14,2012-03-20
01-01-01-201908000072010,2010,1,1,1,MHNB030000382010,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1429,3593.0,15,2010-01-12,2014-01-30,2010-01-25,2014-01-10,2014-01-30
01-01-01-201908000082010,2010,1,1,1,MHNB030000332010,chief judicial magistrate,0 male,1 female,-9999,-9998,1429,3006.0,25,2010-01-13,2011-10-03,2010-01-28,2011-09-19,2011-10-03
01-01-01-201908000092010,2010,1,1,1,MHNB030002862010,chief judicial magistrate,-9998 unclear,1 female,-9998,0,1429,3734.0,25,2010-01-13,2010-02-02,2010-01-16,2010-01-25,2010-02-02
01-01-01-201908000102010,2010,1,1,1,MHNB030000412010,chief judicial magistrate,-9998 unclear,0 male,0,0,1429,2237.0,25,2010-01-16,2010-01-21,2010-01-21,2010-01-21,2010-01-21
01-01-01-201908000112010,2010,1,1,1,MHNB030002872010,chief judicial magistrate,-9998 unclear,1 female,-9998,0,1429,3734.0,25,2010-01-18,2010-02-02,2010-01-21,2010-01-27,2010-02-02
01-01-01-201908000122010,2010,1,1,1,MHNB030001722010,chief judicial magistrate,0 male,1 female,-9999,0,1429,4882.0,25,2010-01-19,2011-07-01,2010-03-19,2011-06-13,2011-07-01
01-01-01-201908000132010,2010,1,1,1,MHNB030001672010,chief judicial magistrate,-9998 unclear,0 male,-9998,0,1429,3734.0,25,2010-01-20,2010-01-28,2010-01-20,2010-01-27,2010-01-28
01-01-01-201908000142010,2010,1,1,1,MHNB030000472010,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1429,3439.0,25,2010-01-20,2014-02-21,2010-04-20,2014-02-03,2014-02-21
01-01-01-201908000152010,2010,1,1,1,MHNB030003482010,chief judicial magistrate,0 male,0 male,-9999,0,1429,4946.0,25,2010-04-20,2011-03-31,2010-06-23,2011-02-28,2011-03-31
01-01-01-201908000162010,2010,1,1,1,MHNB030000462010,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1429,3439.0,25,2010-01-20,2011-08-25,2010-04-20,2011-06-13,2011-08-25
